"Amount expected: %s %s","Cantidad esperada: %s %s"
"Amount received: %s %s", "Cantidad recibida: %s %s"
"Authorized payment.", "Pago autorizado."
"Cancel payment", "Cancelar pago"
"Cannot connect to Trustly services.","No se puede conectar a Trustly."
"Cannot find the order %s.", "No se ha encontrado el pedido %s."
"Cannot find the relation of Trustly order %s for user %s.","No se puede encontrar la relación de la orden de Trustly %s para el usuario %s."
"Cannot verify the authenticity of Trustly communication.","No se puede verificar la autenticidad de la comunicación con Trustly."
"Could not connect to Trustly.", "No se ha podido conectar con Trustly."
"Credit memo has been created automatically","La nota de crédito ha sido creado de forma automática"
"Date of transaction: %s", "Fecha de operación: %s"
"Debit amount: %s %s","Cantidad abonada: %s %s"
"Direct banking", "Transferencia online"
"Error processing Trustly communication.", "Error en el proceso."
"Example of banks that Trustly can be used with: <br />BBVA, La Caixa, Bankia, Santander, Banco Popular, Sabadell and Banco Pastor", "Ejemplos de bancos disponibles con Trustly: <br /> BBVA, Santander, La Caixa, Bankia, Sabadell, Banco Popular y Banco Pastor."
"Failed to communicate with Trustly.","Error al comunicarse con Trustly."
"Failed to display the payment method.", "Ha ocurrido un error al mostrar el m&eacute;todo de pago."
"Invalid payment.", "Pago no v&aacute;lido."
"Invoice for Trustly OrderId #%s created","Factura para la OrderId #%s de Trustly creada"
"Invoice: %s","Factura: %s"
"Invoiced from Trustly payment","Facturado con Trustly"
"It is free and you don’t have to register. You have to have your login details to your online bank to pay with Trustly.", "Servicio gratuito y sin necesidad de registrarse. Necesitas tus datos de acceso a tu banca online para pagar con Trustly."
"New payment method!", "&iexcl;Nuevo m&eacute;todo de pago!"
"Notification id: %s","Identificador de la notificación: %s"
"Payment amount: %s %s", "Cantidad transferida: %s %s"
"Payment failed, debit received.","Error en el pago, abono recibido."
"Pending payment.","Pago pendiente."
"Trustly is a payment method that allows you to pay with your online bank account. All you need is your regular online bank credentials. It's fast, easy and secure!", "Trustly es el método de pago seguro que te permite pagar directamente desde tu banca online. Todo lo que necesitas son las contraseñas habituales de tu cuenta. ¡Es fácil, rapido y seguro!"
"Trustly order has been canceled.", "Para Trustly ha sido cancelada."
"Trustly orderid: %s","Trustly orderid: %s"
"Trustly payment module has not been configured.","El módulo de pago de Trustly no se ha configurado."
"Trustly payment","Pago con Trustly"
"Trustly","Trustly"
"Unable to cancel Trustly order.", "No puede cancelar la orden Trustly."
"Unable to set payment method.","No se puede establecer la forma de pago."
"What is Trustly?", "¿Qué es Trustly?"
